#ZVView-data-copy:  25-Jan-2019 04:42:21
#=======================================
#
#name:   79-AU-197(N,G)79-AU-198,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  2424
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
      1.213e-7            0       47.139       1.1516  # 1996,S.Yamamoto+         ## 22370004
       1.25e-7            0           45            0  # 1964,E.Haddad+           ## 12196003
      1.361e-7            0        46.56       0.0313  # 1990,S.Yamamoto+         ## 22196003
      1.361e-7            0       44.631        1.093  # 1996,S.Yamamoto+         ## 22370004
        1.5e-7            0         42.5            0  # 1964,E.Haddad+           ## 12196003
      1.528e-7            0        42.15      0.03366  # 1990,S.Yamamoto+         ## 22196003
      1.528e-7            0       42.679       1.0486  # 1996,S.Yamamoto+         ## 22370004
      1.715e-7            0        41.94      0.03578  # 1990,S.Yamamoto+         ## 22196003
      1.715e-7            0       40.466      0.99906  # 1996,S.Yamamoto+         ## 22370004
       1.75e-7            0         39.5            0  # 1964,E.Haddad+           ## 12196003
        1.8e-7            0           38            0  # 1964,V.A.Konks+          ## 40799004
      1.928e-7            0        38.47      0.03925  # 1990,S.Yamamoto+         ## 22196003
      1.928e-7            0       38.825      0.96365  # 1996,S.Yamamoto+         ## 22370004
          2e-7            0         37.5            0  # 1964,E.Haddad+           ## 12196003
       2.17e-7            0        39.32      0.04245  # 1990,S.Yamamoto+         ## 22196003
       2.17e-7            0        36.46      0.91185  # 1996,S.Yamamoto+         ## 22370004
        2.2e-7            0         36.5            0  # 1964,V.A.Konks+          ## 40799004
      2.439e-7            0        35.23      0.04633  # 1990,S.Yamamoto+         ## 22196003
      2.439e-7            0        35.16      0.88475  # 1996,S.Yamamoto+         ## 22370004
        2.5e-7            0         33.5            0  # 1964,E.Haddad+           ## 12196003
      2.743e-7            0        32.48       0.0497  # 1990,S.Yamamoto+         ## 22196003
      2.743e-7            0       33.382      0.84403  # 1996,S.Yamamoto+         ## 22370004
        2.8e-7            0           32            0  # 1964,V.A.Konks+          ## 40799004
          3e-7            0         31.5            0  # 1964,E.Haddad+           ## 12196003
      3.084e-7            0        32.77      0.04992  # 1990,S.Yamamoto+         ## 22196003
      3.084e-7            0       32.347      0.82129  # 1996,S.Yamamoto+         ## 22370004
        3.4e-7            0           28            0  # 1964,V.A.Konks+          ## 40799004
      3.467e-7            0        30.06      0.05358  # 1990,S.Yamamoto+         ## 22196003
      3.467e-7            0       30.621      0.78025  # 1996,S.Yamamoto+         ## 22370004
        3.8e-7            0           33            0  # 1964,V.A.Konks+          ## 40799004
