#ZVView-data-copy:  25-Jan-2019 04:42:21
#=======================================
#
#name:   79-AU-197(N,G)79-AU-198,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  2424
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
        0.0125       0.0005        1.066        0.059  # 1977,V.N.Kononov+        ## 40520002
      0.012526      5.75e-5        0.422     0.097904  # 2011,C.Lederer+          ## 23152004
       0.01263         4e-5       0.7273      0.11891  # 1975,E.Fort+             ## 20573002
      0.012642      5.85e-5        0.995      0.10746  # 2011,C.Lederer+          ## 23152004
      0.012758      5.85e-5         1.12       0.1344  # 2011,C.Lederer+          ## 23152004
       0.01277            0         1.06        0.106  # 1970,M.P.Fricke+         ## 10049007
      0.012876      5.95e-5        1.126      0.13625  # 2011,C.Lederer+          ## 23152004
       0.01288         4e-5       1.1712       0.1209  # 1975,E.Fort+             ## 20573002
      0.012996         6e-5        1.182      0.11702  # 2011,C.Lederer+          ## 23152004
         0.013            0         0.96            0  # 1960,E.G.Bilpuch+        ## 11187004
         0.013            0         1.45            0  # 1960,E.G.Bilpuch+        ## 11187005
         0.013        0.001        0.993        0.048  # 1974,V.S.Shorin+         ## 40222002
        0.0131      0.00485        1.252            0  # 1965,K.K.Harris+         ## 12197002
        0.0131            0         1.03            0  # 1969,D.Kompe             ## 20358035
        0.0131            0         1.04            0  # 1973,F.Froehner          ## 21020002
      0.013116         6e-5        0.827      0.09924  # 2011,C.Lederer+          ## 23152004
       0.01313         4e-5      0.92437       0.0593  # 1975,E.Fort+             ## 20573002
      0.013237       6.1e-5        0.876      0.12264  # 2011,C.Lederer+          ## 23152004
       0.01336      6.15e-5        1.136      0.10565  # 2011,C.Lederer+          ## 23152004
       0.01338         5e-5      0.88381      0.05288  # 1975,E.Fort+             ## 20573002
        0.0134            0         1.25            0  # 1961,J.H.Gibbons+        ## 11329067
       0.01348            0        0.935       0.0935  # 1970,M.P.Fricke+         ## 10049007
      0.013484      6.25e-5        0.918     0.099144  # 2011,C.Lederer+          ## 23152004
        0.0135       0.0015        0.923        0.053  # 1983,N.Yamamuro+         ## 21911003
        0.0135       0.0005        0.981        0.053  # 1977,V.N.Kononov+        ## 40520002
      0.013608      6.25e-5        0.981      0.10889  # 2011,C.Lederer+          ## 23152004
       0.01363         5e-5       0.8099      0.04932  # 1975,E.Fort+             ## 20573002
      0.013734       6.3e-5        1.022      0.12468  # 2011,C.Lederer+          ## 23152004
      0.013861       6.4e-5         0.75      0.12375  # 2011,C.Lederer+          ## 23152004
       0.01388         5e-5      0.98837      0.05377  # 1975,E.Fort+             ## 20573002
       0.01399      6.45e-5        1.335      0.12149  # 2011,C.Lederer+          ## 23152004
      0.014119       6.5e-5        0.691      0.16653  # 2011,C.Lederer+          ## 23152004
       0.01413         5e-5       0.9635      0.05114  # 1975,E.Fort+             ## 20573002
        0.0142            0         1.03            0  # 1961,J.H.Gibbons+        ## 11329067
       0.01425      6.55e-5        0.744       0.1116  # 2011,C.Lederer+          ## 23152004
       0.01426            0        0.947       0.0947  # 1970,M.P.Fricke+         ## 10049007
        0.0143            0        0.962            0  # 1969,D.Kompe             ## 20358035
        0.0143            0        0.973            0  # 1973,F.Froehner          ## 21020002
       0.01438         5e-5      0.96736      0.05121  # 1975,E.Fort+             ## 20573002
      0.014382      6.65e-5        0.991      0.11595  # 2011,C.Lederer+          ## 23152004
        0.0145       0.0005        0.938        0.049  # 1977,V.N.Kononov+        ## 40520002
      0.014514      6.65e-5        0.818      0.09407  # 2011,C.Lederer+          ## 23152004
       0.01463         5e-5      0.97689      0.04961  # 1975,E.Fort+             ## 20573002
      0.014648      6.75e-5        0.953     0.093394  # 2011,C.Lederer+          ## 23152004
      0.014784      6.85e-5        0.778      0.13926  # 2011,C.Lederer+          ## 23152004
        0.0148            0         0.88            0  # 1976,R.Gwin+             ## 10267045
        0.0148            0        0.863     0.012082  # 1973,J.B.Czirr+          ## 10305003
        0.0148            0         0.87            0  # 1964,E.Haddad+           ## 12196002
       0.01488         5e-5      0.95408      0.04708  # 1975,E.Fort+             ## 20573002
      0.014922      6.85e-5        0.733      0.18618  # 2011,C.Lederer+          ## 23152004
         0.015        0.001        0.882        0.042  # 1974,V.S.Shorin+         ## 40222002
       0.01506      6.95e-5        0.963      0.11941  # 2011,C.Lederer+          ## 23152004
        0.0151            0         1.01       0.0909  # 1970,M.P.Fricke+         ## 10049007
       0.01513         5e-5      0.89841      0.04549  # 1975,E.Fort+             ## 20573002
      0.015199         7e-5        1.022      0.11038  # 2011,C.Lederer+          ## 23152004
        0.0152     0.001064        0.745         0.14  # 1968,L.M.Spitz+          ## 30114007
        0.0153            0          0.9            0  # 1961,J.H.Gibbons+        ## 11329067
       0.01534      7.05e-5        1.028      0.10588  # 2011,C.Lederer+          ## 23152004
       0.01538         6e-5      0.90229      0.04508  # 1975,E.Fort+             ## 20573002
        0.0154            0        0.906            0  # 1969,D.Kompe             ## 20358035
        0.0154            0        0.917            0  # 1973,F.Froehner          ## 21020002
      0.015481       7.1e-5        0.822      0.09453  # 2011,C.Lederer+          ## 23152004
        0.0155       0.0005        0.888        0.046  # 1977,V.N.Kononov+        ## 40520002
      0.015624       7.2e-5        1.092      0.10702  # 2011,C.Lederer+          ## 23152004
       0.01563         6e-5      0.90858      0.04496  # 1975,E.Fort+             ## 20573002
      0.015769       7.3e-5        0.773     0.091987  # 2011,C.Lederer+          ## 23152004
       0.01588         6e-5      0.74493      0.03981  # 1975,E.Fort+             ## 20573002
      0.015915       7.3e-5        0.591      0.16489  # 2011,C.Lederer+          ## 23152004
         0.016            0         1.07            0  # 1961,J.H.Gibbons+        ## 11329067
         0.016            0        0.749        0.116  # 1968,L.M.Spitz+          ## 30114007
       0.01602            0         0.87       0.0783  # 1970,M.P.Fricke+         ## 10049007
      0.016062       7.4e-5        0.744      0.17856  # 2011,C.Lederer+          ## 23152004
       0.01613         6e-5      0.75102       0.0384  # 1975,E.Fort+             ## 20573002
       0.01621      7.45e-5        0.678      0.13357  # 2011,C.Lederer+          ## 23152004
        0.0163            0         0.86            0  # 1969,D.Kompe             ## 20358035
        0.0163            0         0.87            0  # 1973,F.Froehner          ## 21020002
       0.01636      7.55e-5        0.985     0.095545  # 2011,C.Lederer+          ## 23152004
       0.01638         6e-5      0.92519      0.04346  # 1975,E.Fort+             ## 20573002
        0.0164            0         0.91            0  # 1961,J.H.Gibbons+        ## 11329067
        0.0165       0.0015        0.768        0.045  # 1983,N.Yamamuro+         ## 21911003
        0.0165       0.0005        0.863        0.044  # 1977,V.N.Kononov+        ## 40520002
      0.016512       7.6e-5        0.865      0.10813  # 2011,C.Lederer+          ## 23152004
       0.01663         6e-5      0.78257       0.0382  # 1975,E.Fort+             ## 20573002
      0.016665       7.7e-5         0.52      0.09724  # 2011,C.Lederer+          ## 23152004
       0.01682      7.75e-5        0.981      0.12655  # 2011,C.Lederer+          ## 23152004
       0.01688         6e-5      0.93551      0.04236  # 1975,E.Fort+             ## 20573002
      0.016975       7.8e-5        1.174       0.1221  # 2011,C.Lederer+          ## 23152004
         0.017            0        0.879        0.126  # 1968,L.M.Spitz+          ## 30114007
         0.017        0.001        0.846        0.041  # 1974,V.S.Shorin+         ## 40222002
         0.017            0          1.2            0  # 1964,V.A.Konks+          ## 40799004
       0.01703            0        0.835      0.07515  # 1970,M.P.Fricke+         ## 10049007
       0.01713         7e-5      0.88005      0.04065  # 1975,E.Fort+             ## 20573002
      0.017132       7.9e-5        0.682      0.10571  # 2011,C.Lederer+          ## 23152004
        0.0172            0        0.876            0  # 1969,D.Kompe             ## 20358035
        0.0172            0        0.886            0  # 1973,F.Froehner          ## 21020002
       0.01729      7.95e-5        0.768     0.098304  # 2011,C.Lederer+          ## 23152004
       0.01738         7e-5      0.81165      0.03757  # 1975,E.Fort+             ## 20573002
       0.01745      8.05e-5        0.832      0.09152  # 2011,C.Lederer+          ## 23152004
        0.0175            0         0.86            0  # 1961,J.H.Gibbons+        ## 11329067
        0.0175       0.0005        0.834        0.043  # 1977,V.N.Kononov+        ## 40520002
        0.0176            0        0.825            0  # 1964,E.Haddad+           ## 12196002
      0.017612       8.1e-5        0.644      0.17903  # 2011,C.Lederer+          ## 23152004
       0.01763         7e-5      0.73763      0.03455  # 1975,E.Fort+             ## 20573002
      0.017775       8.2e-5        0.651      0.20897  # 2011,C.Lederer+          ## 23152004
       0.01788         7e-5      0.90572      0.04086  # 1975,E.Fort+             ## 20573002
       0.01794      8.25e-5        0.683      0.17143  # 2011,C.Lederer+          ## 23152004
         0.018            0        0.835         0.17  # 1963,I.Bergqvist         ## 20024005
        0.0181            0        0.778        0.111  # 1968,L.M.Spitz+          ## 30114007
      0.018106      8.35e-5        0.952      0.11234  # 2011,C.Lederer+          ## 23152004
       0.01813         7e-5      0.89252      0.03979  # 1975,E.Fort+             ## 20573002
       0.01814            0         0.95        0.076  # 1970,M.P.Fricke+         ## 10049007
      0.018273       8.4e-5        0.772       0.1351  # 2011,C.Lederer+          ## 23152004
        0.0183            0         0.77            0  # 1961,J.H.Gibbons+        ## 11329067
        0.0183            0        0.839            0  # 1969,D.Kompe             ## 20358035
        0.0183            0        0.849            0  # 1973,F.Froehner          ## 21020002
       0.01838         7e-5      0.87257      0.03894  # 1975,E.Fort+             ## 20573002
      0.018442       8.5e-5        0.814      0.10826  # 2011,C.Lederer+          ## 23152004
        0.0185            0         0.73            0  # 1960,E.G.Bilpuch+        ## 11187004
        0.0185            0          1.1            0  # 1960,E.G.Bilpuch+        ## 11187005
        0.0185       0.0005        0.775        0.039  # 1977,V.N.Kononov+        ## 40520002
      0.018612      8.55e-5        0.755      0.09211  # 2011,C.Lederer+          ## 23152004
       0.01863         7e-5      0.76709      0.03478  # 1975,E.Fort+             ## 20573002
      0.018784      8.65e-5        0.763     0.086982  # 2011,C.Lederer+          ## 23152004
       0.01888         8e-5      0.86155      0.03782  # 1975,E.Fort+             ## 20573002
      0.018958      8.75e-5        0.667      0.12806  # 2011,C.Lederer+          ## 23152004
         0.019            0         0.84            0  # 1961,J.H.Gibbons+        ## 11329067
         0.019        0.001        0.745        0.036  # 1974,V.S.Shorin+         ## 40222002
        0.0191            0         0.76            0  # 1976,R.Gwin+             ## 10267045
        0.0191            0        0.754     0.012064  # 1973,J.B.Czirr+          ## 10305003
       0.01913         8e-5      0.72784      0.03328  # 1975,E.Fort+             ## 20573002
      0.019134       8.8e-5        0.662     0.077454  # 2011,C.Lederer+          ## 23152004
        0.0193            0        0.585        0.086  # 1968,L.M.Spitz+          ## 30114007
      0.019311       8.9e-5        0.616      0.16447  # 2011,C.Lederer+          ## 23152004
       0.01935            0         0.81       0.0648  # 1970,M.P.Fricke+         ## 10049007
       0.01938         8e-5      0.69899       0.0316  # 1975,E.Fort+             ## 20573002
       0.01949      8.95e-5        0.679     0.089628  # 2011,C.Lederer+          ## 23152004
        0.0195            0         0.69            0  # 1961,J.H.Gibbons+        ## 11329067
        0.0195            0        0.731            0  # 1969,D.Kompe             ## 20358035
        0.0195            0         0.74            0  # 1973,F.Froehner          ## 21020002
        0.0195       0.0015        0.681         0.04  # 1983,N.Yamamuro+         ## 21911003
        0.0195       0.0005        0.724        0.037  # 1977,V.N.Kononov+        ## 40520002
       0.01963         8e-5      0.59199      0.02738  # 1975,E.Fort+             ## 20573002
       0.01967       9.1e-5        0.645      0.11094  # 2011,C.Lederer+          ## 23152004
      0.019852       9.1e-5        0.835      0.09352  # 2011,C.Lederer+          ## 23152004
       0.01988         8e-5      0.76041      0.03297  # 1975,E.Fort+             ## 20573002
      0.020036      9.25e-5        0.645      0.18511  # 2011,C.Lederer+          ## 23152004
       0.02013         8e-5      0.90067      0.03848  # 1975,E.Fort+             ## 20573002
      0.020221       9.3e-5        0.654      0.14584  # 2011,C.Lederer+          ## 23152004
        0.0203            0        0.724            0  # 1969,D.Kompe             ## 20358035
        0.0203            0        0.732            0  # 1973,F.Froehner          ## 21020002
       0.02038         9e-5      0.66129      0.02949  # 1975,E.Fort+             ## 20573002
      0.020408       9.4e-5        0.492      0.11808  # 2011,C.Lederer+          ## 23152004
        0.0205            0        0.742        0.095  # 1968,L.M.Spitz+          ## 30114007
      0.020597       9.5e-5        0.751      0.09763  # 2011,C.Lederer+          ## 23152004
        0.0206            0         0.67            0  # 1961,J.H.Gibbons+        ## 11329067
       0.02063         9e-5      0.64411      0.02909  # 1975,E.Fort+             ## 20573002
        0.0207            0        0.785       0.0628  # 1970,M.P.Fricke+         ## 10049007
        0.0207            0        0.727            0  # 1969,D.Kompe             ## 20358035
        0.0207            0        0.736            0  # 1973,F.Froehner          ## 21020002
      0.020788      9.55e-5        0.697      0.16589  # 2011,C.Lederer+          ## 23152004
       0.02088         9e-5      0.70393      0.03089  # 1975,E.Fort+             ## 20573002
       0.02098       9.7e-5        0.805      0.10626  # 2011,C.Lederer+          ## 23152004
         0.021       0.0005        0.715         0.03  # 1970,H.Pauw              ## 20868012
         0.021       0.0005         0.38        0.015  # 1970,H.Pauw              ## 20868012
         0.021        0.001        0.675        0.032  # 1974,V.S.Shorin+         ## 40222002
         0.021        0.001        0.712        0.036  # 1977,V.N.Kononov+        ## 40520002
       0.02113         9e-5      0.68367      0.02968  # 1975,E.Fort+             ## 20573002
      0.021174      9.75e-5        0.558     0.074772  # 2011,C.Lederer+          ## 23152004
        0.0212            0        0.711            0  # 1969,D.Kompe             ## 20358035
        0.0212            0        0.719            0  # 1973,F.Froehner          ## 21020002
       0.02137       9.8e-5        0.798      0.09975  # 2011,C.Lederer+          ## 23152004
       0.02138         9e-5      0.82511      0.03508  # 1975,E.Fort+             ## 20573002
      0.021568      9.95e-5        0.663     0.068289  # 2011,C.Lederer+          ## 23152004
        0.0216            0        0.625            0  # 1961,J.H.Gibbons+        ## 11329067
        0.0216            0        0.688            0  # 1969,D.Kompe             ## 20358035
        0.0216            0        0.696            0  # 1973,F.Froehner          ## 21020002
       0.02163         9e-5      0.69714      0.03009  # 1975,E.Fort+             ## 20573002
      0.021768    0.0001005        0.669      0.08028  # 2011,C.Lederer+          ## 23152004
        0.0218            0        0.722      0.06498  # 1970,M.P.Fricke+         ## 10049007
        0.0218            0         0.65            0  # 1964,E.Haddad+           ## 12196002
       0.02188         9e-5      0.71947      0.03093  # 1975,E.Fort+             ## 20573002
      0.021969     0.000101         0.68       0.1122  # 2011,C.Lederer+          ## 23152004
         0.022       0.0005        0.655         0.04  # 1970,H.Pauw              ## 20868012
         0.022       0.0005         0.38        0.025  # 1970,H.Pauw              ## 20868012
         0.022            0        0.669        0.085  # 1968,L.M.Spitz+          ## 30114007
        0.0221            0        0.666            0  # 1969,D.Kompe             ## 20358035
        0.0221            0        0.674            0  # 1973,F.Froehner          ## 21020002
       0.02213       0.0001      0.56144      0.02504  # 1975,E.Fort+             ## 20573002
      0.022172     0.000102         0.59      0.09971  # 2011,C.Lederer+          ## 23152004
      0.022377     0.000103        0.534      0.10253  # 2011,C.Lederer+          ## 23152004
       0.02238       0.0001      0.55399      0.02437  # 1975,E.Fort+             ## 20573002
        0.0225            0         0.77            0  # 1961,J.H.Gibbons+        ## 11329067
      0.022584     0.000104        0.759     0.086526  # 2011,C.Lederer+          ## 23152004
        0.0226            0        0.645            0  # 1969,D.Kompe             ## 20358035
        0.0226            0        0.653            0  # 1973,F.Froehner          ## 21020002
       0.02263       0.0001      0.70348      0.02999  # 1975,E.Fort+             ## 20573002
      0.022793     0.000105        0.709       0.1021  # 2011,C.Lederer+          ## 23152004
       0.02288       0.0001       0.6449      0.02796  # 1975,E.Fort+             ## 20573002
         0.023            0         0.65            0  # 1961,J.H.Gibbons+        ## 11329067
         0.023            0       0.6178       0.0111  # 1991,S.Sakamoto+         ## 13519002
         0.023        0.002        0.638        0.037  # 1983,N.Yamamuro+         ## 21911003
         0.023       0.0025        0.788        0.079  # 1974,K.Siddappa+         ## 30502012
         0.023        0.001         0.66        0.032  # 1974,V.S.Shorin+         ## 40222002
         0.023        0.001        0.685        0.034  # 1977,V.N.Kononov+        ## 40520002
      0.023004     0.000106        0.564     0.085728  # 2011,C.Lederer+          ## 23152004
        0.0231            0        0.653            0  # 1969,D.Kompe             ## 20358035
        0.0231            0        0.661            0  # 1973,F.Froehner          ## 21020002
       0.02313       0.0001      0.59979      0.02585  # 1975,E.Fort+             ## 20573002
        0.0232      0.00645        0.761            0  # 1965,K.K.Harris+         ## 12197002
      0.023217     0.000107        0.552      0.16118  # 2011,C.Lederer+          ## 23152004
        0.0233            0        0.618        0.011  # 1990,S.Sakamoto+         ## 14040002
       0.02338       0.0001      0.66844      0.02829  # 1975,E.Fort+             ## 20573002
       0.02342            0        0.682      0.06138  # 1970,M.P.Fricke+         ## 10049007
      0.023432     0.000108        0.666     0.087246  # 2011,C.Lederer+          ## 23152004
        0.0235            0        0.691        0.084  # 1968,L.M.Spitz+          ## 30114007
       0.02363      0.00011      0.63116      0.02693  # 1975,E.Fort+             ## 20573002
      0.023648    0.0001085        0.545      0.07739  # 2011,C.Lederer+          ## 23152004
        0.0237            0        0.663            0  # 1969,D.Kompe             ## 20358035
        0.0237            0        0.671            0  # 1973,F.Froehner          ## 21020002
      0.023867      0.00011        0.751      0.09763  # 2011,C.Lederer+          ## 23152004
       0.02388      0.00011      0.69708      0.02911  # 1975,E.Fort+             ## 20573002
         0.024       0.0025         0.89         0.19  # 1958,R.Booth+            ## 11429031
         0.024       0.0011        0.532         0.06  # 1960,H.W.Schmitt+        ## 11778013
         0.024       0.0004         0.68      0.02244  # 1975,N.Yamamuro+         ## 20432006
         0.024            0        0.685      0.04795  # 1971,F.Bensch+           ## 22612002
         0.024            0         0.57         0.03  # 1965,T.S.Belanova+       ## 40072014
         0.024            0         0.61        0.028  # 1965,T.S.Belanova+       ## 40072032
         0.024            0         0.64         0.03  # 1965,T.S.Belanova+       ## 40072032
         0.024            0        0.954        0.005  # 1958,V.N.Kononov+        ## 40421021
      0.024088     0.000111        0.523      0.10251  # 2011,C.Lederer+          ## 23152004
       0.02413      0.00011      0.57522      0.02451  # 1975,E.Fort+             ## 20573002
        0.0242            0        0.665            0  # 1969,D.Kompe             ## 20358035
        0.0242            0        0.673            0  # 1973,F.Froehner          ## 21020002
        0.0243            0         0.63        0.017  # 1975,K.Rimawi+           ## 10434002
      0.024311     0.000112        0.747      0.10234  # 2011,C.Lederer+          ## 23152004
       0.02438      0.00011      0.69845      0.02923  # 1975,E.Fort+             ## 20573002
      0.024536     0.000113        0.657     0.082782  # 2011,C.Lederer+          ## 23152004
       0.02463      0.00011      0.59809      0.02506  # 1975,E.Fort+             ## 20573002
        0.0247            0         0.63            0  # 1976,R.Gwin+             ## 10267045
        0.0247            0        0.645     0.009675  # 1973,J.B.Czirr+          ## 10305003
        0.0247       0.0013        0.676        0.032  # 1968,W.P.Poenitz+        ## 21848002
      0.024763     0.000114        0.375      0.16762  # 2011,C.Lederer+          ## 23152004
        0.0248            0        0.659            0  # 1969,D.Kompe             ## 20358035
        0.0248            0        0.667            0  # 1973,F.Froehner          ## 21020002
       0.02488      0.00011      0.63055      0.02632  # 1975,E.Fort+             ## 20573002
      0.024992     0.000115        0.553     0.085715  # 2011,C.Lederer+          ## 23152004
         0.025       0.0009        0.639        0.031  # 1968,W.P.Poenitz+        ## 21848002
         0.025        0.001        0.652         0.03  # 1974,V.S.Shorin+         ## 40222002
         0.025        0.001        0.654        0.033  # 1977,V.N.Kononov+        ## 40520002
       0.02513      0.00012      0.71599      0.02944  # 1975,E.Fort+             ## 20573002
       0.02522            0        0.676      0.06084  # 1970,M.P.Fricke+         ## 10049007
      0.025224    0.0001165        0.755      0.08456  # 2011,C.Lederer+          ## 23152004
        0.0253            0         0.57        0.068  # 1968,L.M.Spitz+          ## 30114007
       0.02538      0.00012      0.69641       0.0291  # 1975,E.Fort+             ## 20573002
        0.0254            0        0.575            0  # 1961,J.H.Gibbons+        ## 11329067
        0.0254            0        0.636            0  # 1969,D.Kompe             ## 20358035
        0.0254            0        0.643            0  # 1973,F.Froehner          ## 21020002
      0.025457     0.000117        0.713      0.08556  # 2011,C.Lederer+          ## 23152004
       0.02563      0.00012      0.57808      0.02474  # 1975,E.Fort+             ## 20573002
      0.025692    0.0001185        0.525      0.10868  # 2011,C.Lederer+          ## 23152004
       0.02588      0.00012      0.54354      0.02351  # 1975,E.Fort+             ## 20573002
       0.02593    0.0001195        0.664     0.084992  # 2011,C.Lederer+          ## 23152004
         0.026            0        0.631            0  # 1969,D.Kompe             ## 20358035
         0.026            0        0.638            0  # 1973,F.Froehner          ## 21020002
       0.02613      0.00012      0.53313      0.02286  # 1975,E.Fort+             ## 20573002
       0.02617    0.0001205        0.413     0.092099  # 2011,C.Lederer+          ## 23152004
       0.02638      0.00013      0.60509      0.02503  # 1975,E.Fort+             ## 20573002
      0.026412    0.0001215         0.71      0.09798  # 2011,C.Lederer+          ## 23152004
        0.0265            0         0.61            0  # 1961,J.H.Gibbons+        ## 11329067
        0.0266            0        0.629            0  # 1969,D.Kompe             ## 20358035
        0.0266            0        0.636            0  # 1973,F.Froehner          ## 21020002
       0.02663      0.00013      0.62898      0.02593  # 1975,E.Fort+             ## 20573002
      0.026656    0.0001225        0.533      0.10873  # 2011,C.Lederer+          ## 23152004
       0.02688      0.00013      0.64968      0.02653  # 1975,E.Fort+             ## 20573002
      0.026903     0.000124        0.639     0.077319  # 2011,C.Lederer+          ## 23152004
         0.027        0.001         0.63        0.027  # 1974,V.S.Shorin+         ## 40222002
         0.027        0.001        0.633        0.031  # 1977,V.N.Kononov+        ## 40520002
         0.027            0         0.68            0  # 1964,V.A.Konks+          ## 40799004
       0.02713      0.00013      0.64658      0.02646  # 1975,E.Fort+             ## 20573002
      0.027152     0.000125        0.695      0.13066  # 2011,C.Lederer+          ## 23152004
        0.0272            0         0.57        0.065  # 1968,L.M.Spitz+          ## 30114007
       0.02723            0        0.636      0.05724  # 1970,M.P.Fricke+         ## 10049007
        0.0273            0        0.595            0  # 1964,E.Haddad+           ## 12196002
        0.0273            0        0.636            0  # 1969,D.Kompe             ## 20358035
        0.0273            0        0.643            0  # 1973,F.Froehner          ## 21020002
       0.02738      0.00013      0.61084      0.02519  # 1975,E.Fort+             ## 20573002
      0.027404    0.0001265        0.474      0.08058  # 2011,C.Lederer+          ## 23152004
        0.0275            0        0.595            0  # 1961,J.H.Gibbons+        ## 11329067
        0.0275       0.0025        0.592        0.034  # 1983,N.Yamamuro+         ## 21911003
       0.02763      0.00013       0.6055       0.0248  # 1975,E.Fort+             ## 20573002
      0.027657     0.000127        0.664     0.095616  # 2011,C.Lederer+          ## 23152004
       0.02788      0.00014      0.66687      0.02701  # 1975,E.Fort+             ## 20573002
        0.0279            0         0.64            0  # 1969,D.Kompe             ## 20358035
        0.0279            0        0.648            0  # 1973,F.Froehner          ## 21020002
      0.027912    0.0001285        0.733     0.088693  # 2011,C.Lederer+          ## 23152004
         0.028            0         0.55            0  # 1960,E.G.Bilpuch+        ## 11187004
         0.028            0         0.83            0  # 1960,E.G.Bilpuch+        ## 11187005
       0.02813      0.00014      0.61017       0.0249  # 1975,E.Fort+             ## 20573002
      0.028171      0.00013        0.649     0.088913  # 2011,C.Lederer+          ## 23152004
       0.02838      0.00014      0.67578      0.02735  # 1975,E.Fort+             ## 20573002
      0.028432     0.000131        0.791     0.091756  # 2011,C.Lederer+          ## 23152004
        0.0285            0         0.53            0  # 1961,J.H.Gibbons+        ## 11329067
        0.0286            0         0.63            0  # 1969,D.Kompe             ## 20358035
        0.0286            0        0.637            0  # 1973,F.Froehner          ## 21020002
       0.02863      0.00014      0.67889      0.02747  # 1975,E.Fort+             ## 20573002
      0.028695     0.000132        0.607     0.086801  # 2011,C.Lederer+          ## 23152004
       0.02888      0.00014       0.6507      0.02625  # 1975,E.Fort+             ## 20573002
       0.02896    0.0001335        0.606      0.10241  # 2011,C.Lederer+          ## 23152004
         0.029        0.001        0.611        0.024  # 1974,V.S.Shorin+         ## 40222002
         0.029        0.001        0.615         0.03  # 1977,V.N.Kononov+        ## 40520002
       0.02913      0.00015      0.58483      0.02366  # 1975,E.Fort+             ## 20573002
      0.029228    0.0001345        0.573     0.076209  # 2011,C.Lederer+          ## 23152004
       0.02938      0.00015      0.62591       0.0254  # 1975,E.Fort+             ## 20573002
        0.0294            0         0.62            0  # 1969,D.Kompe             ## 20358035
        0.0294            0        0.627            0  # 1973,F.Froehner          ## 21020002
        0.0294            0        0.513        0.059  # 1968,L.M.Spitz+          ## 30114007
      0.029499     0.000136        0.788       0.0788  # 2011,C.Lederer+          ## 23152004
        0.0295            0        0.596      0.05364  # 1970,M.P.Fricke+         ## 10049007
       0.02963      0.00015      0.63315      0.02567  # 1975,E.Fort+             ## 20573002
        0.0297            0         0.54            0  # 1961,J.H.Gibbons+        ## 11329067
      0.029772     0.000137         0.56      0.07448  # 2011,C.Lederer+          ## 23152004
       0.02988      0.00015      0.58543      0.02368  # 1975,E.Fort+             ## 20573002
          0.03            0         0.64         0.04  # 1976,R.Gwin+             ## 10267043
          0.03            0          0.6         0.05  # 1976,R.Gwin+             ## 10267043
          0.03       0.0035        0.515      0.04635  # 1961,J.H.Gibbons+        ## 11329066
          0.03            0        0.513       0.1026  # 1963,R.L.Macklin+        ## 11380013
          0.03       0.0125        0.809            0  # 1961,S.A.Cox             ## 12213002
          0.03            0        0.593     0.012453  # 1966,W.Poenitz           ## 21193002
          0.03            0        0.604        0.011  # 1966,W.Poenitz           ## 21193003
      0.030048    0.0001385        0.621     0.084456  # 2011,C.Lederer+          ## 23152004
        0.0301            0         0.59            0  # 1969,D.Kompe             ## 20358035
        0.0301            0        0.597            0  # 1973,F.Froehner          ## 21020002
       0.03013      0.00015      0.67951      0.02724  # 1975,E.Fort+             ## 20573002
        0.0302            0        0.767         0.06  # 1961,L.W.Weston+         ## 12214002
      0.030326    0.0001395        0.619     0.097183  # 2011,C.Lederer+          ## 23152004
       0.03038      0.00015      0.64159      0.02591  # 1975,E.Fort+             ## 20573002
       0.03045            0        0.592        0.018  # 1984,Zhu Shengyun+       ## 30689002
      0.030606     0.000141        0.334       0.1513  # 2011,C.Lederer+          ## 23152004
       0.03063      0.00016      0.56207      0.02303  # 1975,E.Fort+             ## 20573002
        0.0308       0.0013        0.591         0.03  # 1968,W.P.Poenitz+        ## 21848002
       0.03088      0.00016      0.56513      0.02321  # 1975,E.Fort+             ## 20573002
      0.030889     0.000142        0.633     0.083556  # 2011,C.Lederer+          ## 23152004
        0.0309            0        0.569            0  # 1969,D.Kompe             ## 20358035
        0.0309            0        0.576            0  # 1973,F.Froehner          ## 21020002
         0.031            0         0.51            0  # 1961,J.H.Gibbons+        ## 11329067
         0.031        0.001        0.566        0.025  # 1974,V.S.Shorin+         ## 40222002
         0.031        0.001        0.579        0.029  # 1977,V.N.Kononov+        ## 40520002
       0.03113      0.00016      0.53679      0.02203  # 1975,E.Fort+             ## 20573002
      0.031174    0.0001435        0.419      0.12402  # 2011,C.Lederer+          ## 23152004
       0.03138      0.00016      0.52878      0.02167  # 1975,E.Fort+             ## 20573002
      0.031463     0.000145        0.616      0.08008  # 2011,C.Lederer+          ## 23152004
        0.0315            0         0.53            0  # 1961,J.H.Gibbons+        ## 11329067
        0.0316            0        0.505            0  # 1961,J.H.Gibbons+        ## 11329067
       0.03163      0.00016      0.55585      0.02256  # 1975,E.Fort+             ## 20573002
      0.031754    0.0001465        0.682     0.087978  # 2011,C.Lederer+          ## 23152004
        0.0318            0        0.552            0  # 1969,D.Kompe             ## 20358035
        0.0318            0        0.558            0  # 1973,F.Froehner          ## 21020002
        0.0318            0        0.475        0.053  # 1968,L.M.Spitz+          ## 30114007
