#ZVView-data-copy:   6-Nov-2020 04:33:28
#=======================================
#
#name:   5-B-10(N,ABS),,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  3
#ldata:  113
#data...
#            X            Y         +-dY  # Comments...
#          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
         0.364            0         0.91            0  # 1966,F.P.Mooring+        ## 11197004             
         0.372            0          0.7            0  # 1966,F.P.Mooring+        ## 11197003             
         0.372            0         0.91            0  # 1966,F.P.Mooring+        ## 11197004             
          0.38            0         0.73            0  # 1966,F.P.Mooring+        ## 11197003             
          0.38            0          0.9            0  # 1966,F.P.Mooring+        ## 11197004             
         0.389            0         0.64            0  # 1966,F.P.Mooring+        ## 11197003             
         0.389            0         0.87            0  # 1966,F.P.Mooring+        ## 11197004             
         0.397            0         0.55            0  # 1966,F.P.Mooring+        ## 11197003             
         0.397            0         0.85            0  # 1966,F.P.Mooring+        ## 11197004             
         0.406            0         0.86            0  # 1966,F.P.Mooring+        ## 11197003             
         0.406            0         0.87            0  # 1966,F.P.Mooring+        ## 11197004             
         0.415            0          0.8            0  # 1966,F.P.Mooring+        ## 11197003             
         0.415            0         0.87            0  # 1966,F.P.Mooring+        ## 11197004             
         0.423            0          0.8            0  # 1966,F.P.Mooring+        ## 11197003             
         0.423            0         0.85            0  # 1966,F.P.Mooring+        ## 11197004             
         0.432            0         0.86            0  # 1966,F.P.Mooring+        ## 11197004             
          0.44            0          0.8            0  # 1966,F.P.Mooring+        ## 11197003             
          0.44            0         0.86            0  # 1966,F.P.Mooring+        ## 11197004             
         0.448            0         0.79            0  # 1966,F.P.Mooring+        ## 11197003             
         0.448            0         0.86            0  # 1966,F.P.Mooring+        ## 11197004             
         0.456            0            1            0  # 1966,F.P.Mooring+        ## 11197003             
         0.456            0         0.87            0  # 1966,F.P.Mooring+        ## 11197004             
         0.472            0          0.9            0  # 1966,F.P.Mooring+        ## 11197003             
         0.472            0         0.87            0  # 1966,F.P.Mooring+        ## 11197004             
         0.481            0         0.85            0  # 1966,F.P.Mooring+        ## 11197003             
         0.481            0         0.85            0  # 1966,F.P.Mooring+        ## 11197004             
          0.49            0         0.95            0  # 1966,F.P.Mooring+        ## 11197003             
          0.49            0         0.84            0  # 1966,F.P.Mooring+        ## 11197004             
         0.498            0         0.78            0  # 1966,F.P.Mooring+        ## 11197003             
         0.498            0         0.85            0  # 1966,F.P.Mooring+        ## 11197004             
//
#-------------------------------------------------------------------------------
